zip_code,median_income,store_count
01605,54642.0,0
01606,92105.0,1
01607,78727.0,1
01608,45687.0,1
01609,68381.0,0
01610,51472.0,0
01611,109868.0,0
01612,134083.0,0
01701,137094.0,3
01702,82496.0,0
01718,104167.0,0
01719,144611.0,0
01720,159010.0,1
01721,127539.0,1
01730,172400.0,1
01731,104688.0,0
01740,205449.0,0
01741,108243.80276816609,0
01742,195125.0,0
01745,185994.0,0
01746,159817.0,0
01747,115722.0,0
01748,222801.0,0
01749,103400.0,1
01752,91968.0,2
01754,124067.0,1
01756,132256.0,0
01757,96621.0,2
01760,138563.0,3
01770,108243.80276816609,0
01772,201568.0,0
01773,209327.0,0
01775,185809.0,0
01776,236509.0,0
01778,219375.0,0
01801,111185.0,2
01803,146436.0,1
01810,172606.0,1
01821,149042.0,2
01824,140050.0,1
01826,114196.0,1
01827,208512.0,0
01830,78571.0,1
01832,83041.0,1
01833,153750.0,0
01834,141487.0,0
01835,113578.0,1
01840,42211.0,2
01841,56971.0,0
01843,67585.0,0
01844,113212.0,4
01845,140670.0,1
01850,69780.0,0
01851,92401.0,1
01852,80906.0,1
01854,72709.0,1
01860,123054.0,0
01862,138571.0,0
01863,144875.0,0
01864,147768.0,1
01867,165912.0,1
01876,130204.0,2
01879,129348.0,0
01880,134306.0,1
01886,187198.0,0
01887,168152.0,1
01890,230198.0,0
01901,36119.0,0
01902,67046.0,0
01904,99614.0,1
01905,84333.0,2
01906,101539.0,2
01907,134386.0,0
01908,112762.0,0
01913,103554.0,1
01915,104918.0,2
01921,200672.0,0
01922,142207.0,0
01923,125395.0,3
01929,156442.0,0
01930,83883.0,1
01937,108243.80276816609,0
01938,138750.0,0
01940,173214.0,0
01944,206389.0,0
01945,179583.0,0
01949,167402.0,1
01950,139625.0,1
01951,182684.0,0
01952,93361.0,0
01960,96501.0,2
01965,108243.80276816609,0
01966,96250.0,0
01969,132734.0,1
01970,85041.0,2
01982,132571.0,0
01983,195718.0,0
01984,194781.0,0
01985,179500.0,0
02019,125307.0,1
02021,143381.0,1
02025,199306.0,0
02026,128955.0,0
02030,116937.23943661971,0
02032,180682.0,0
02035,115833.0,1
02038,145773.0,1
02043,178390.0,0
02045,115485.0,0
02047,106333.0,0
02048,125273.0,0
02050,126241.0,1
02052,235800.0,0
02053,173750.0,0
02054,155996.0,1
02056,200720.0,0
02061,188699.0,1
02062,107030.0,3
02066,136689.0,0
02067,192314.0,0
02071,213885.0,0
02072,104794.0,1
02081,156250.0,1
02090,223125.0,0
02093,151676.0,0
02108,212928.0,1
02109,158843.0,0
02110,138438.0,2
02111,87404.0,1
02113,113314.0,0
02114,132210.0,1
02115,54991.0,1
02116,126496.0,0
02118,98224.0,1
02119,48488.0,2
02120,64289.0,0
02121,43136.0,0
02122,86150.0,1
02124,81923.0,2
02125,82953.0,0
02126,65709.0,0
02127,164387.0,0
02128,90106.0,1
02129,157247.0,0
02130,131551.0,0
02131,111006.0,1
02132,138724.0,1
02133,116937.23943661971,0
02134,78679.0,1
02135,90829.0,2
02136,96737.0,1
02138,119967.0,1
02139,134586.0,1
02140,135286.0,0
02141,126522.0,0
02142,147723.0,0
02143,130753.0,1
02144,150313.0,0
02145,123755.0,0
02148,100606.0,1
02149,85218.0,1
02150,72179.0,3
02151,86969.0,1
02152,116167.0,0
02155,129700.0,0
02163,84583.0,0
02169,96290.0,1
02170,103627.0,0
02171,106885.0,1
02176,133953.0,0
02180,113964.0,0
02184,122214.0,1
02186,188033.0,0
02188,107335.0,1
02189,94541.0,0
02190,99657.0,0
02191,120324.0,1
02199,122285.0,0
02203,116937.23943661971,0
02205,116937.23943661971,0
02210,172124.0,0
02215,72095.0,1
02301,74214.0,3
02302,92274.0,1
02322,130625.0,0
02324,112726.0,1
02325,116937.23943661971,0
02330,91250.0,1
02332,176583.0,0
02333,133741.0,1
02338,118556.0,0
02339,189803.0,1
02341,132250.0,1
02343,115032.0,0
02346,97056.0,1
02347,133984.0,0
02350,116937.23943661971,0
02351,125400.0,0
02356,127224.0,0
02357,116937.23943661971,0
02359,146285.0,0
02360,116941.0,2
02364,119876.0,1
02366,116937.23943661971,0
02367,126736.0,0
02368,109665.0,1
02370,112405.0,1
02375,120903.0,0
02379,123406.0,0
02382,108933.0,0
02420,245031.0,0
02421,227813.0,1
02445,139747.0,0
02446,131963.0,0
02451,122335.0,0
02452,118431.0,0
02453,115366.0,1
02457,116937.23943661971,0
02458,153520.0,1
02459,227594.0,0
02460,177837.0,0
02461,224000.0,0
